"","study.accession","experiment.accession","ArrayExpress.CellType","ArrayExpress.Species","ENA.FIRST.PUBLIC","ENA.LAST.UPDATE"
"199","ERP012527","ERX1346616","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"200","ERP012527","ERX1346753","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"201","ERP012527","ERX1346838","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"202","ERP012527","ERX1346920","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"203","ERP012527","ERX1346795","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"204","ERP012527","ERX1346824","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"205","ERP012527","ERX1346904","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"206","ERP012527","ERX1346692","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"207","ERP012527","ERX1346823","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"208","ERP012527","ERX1346631","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"209","ERP012527","ERX1346778","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"210","ERP012527","ERX1346697","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"211","ERP012527","ERX1346790","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"212","ERP012527","ERX1346979","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"213","ERP012527","ERX1346959","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"214","ERP012527","ERX1346811","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"215","ERP012527","ERX1346800","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"216","ERP012527","ERX1346751","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"217","ERP012527","ERX1346706","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"218","ERP012527","ERX1346934","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"219","ERP012527","ERX1346720","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"220","ERP012527","ERX1346953","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"221","ERP012527","ERX1346878","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"222","ERP012527","ERX1346768","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"223","ERP012527","ERX1346950","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"224","ERP012527","ERX1346782","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"225","ERP012527","ERX1346724","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"226","ERP012527","ERX1346816","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"227","ERP012527","ERX1346743","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"228","ERP012527","ERX1346764","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"229","ERP012527","ERX1346737","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"230","ERP012527","ERX1346663","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"231","ERP012527","ERX1346625","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"232","ERP012527","ERX1346717","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"233","ERP012527","ERX1346873","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"234","ERP012527","ERX1346854","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"235","ERP012527","ERX1346736","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"236","ERP012527","ERX1346972","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"237","ERP012527","ERX1346633","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"238","ERP012527","ERX1346676","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"239","ERP012527","ERX1346634","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"240","ERP012527","ERX1346777","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"241","ERP012527","ERX1346802","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"242","ERP012527","ERX1346942","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"243","ERP012527","ERX1346701","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"244","ERP012527","ERX1346871","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"245","ERP012527","ERX1346923","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"246","ERP012527","ERX1346840","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"247","ERP012527","ERX1346604","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"248","ERP012527","ERX1346853","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"249","ERP012527","ERX1346812","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"250","ERP012527","ERX1346825","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"251","ERP012527","ERX1346681","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"252","ERP012527","ERX1346908","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"253","ERP012527","ERX1346623","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"254","ERP012527","ERX1346946","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"255","ERP012527","ERX1346874","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"256","ERP012527","ERX1346940","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"257","ERP012527","ERX1346810","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"258","ERP012527","ERX1346725","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"259","ERP012527","ERX1346855","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"260","ERP012527","ERX1346936","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"261","ERP012527","ERX1346780","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"262","ERP012527","ERX1346742","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"263","ERP012527","ERX1346675","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"264","ERP012527","ERX1346668","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"265","ERP012527","ERX1346902","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"266","ERP012527","ERX1346881","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"267","ERP012527","ERX1346602","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"268","ERP012527","ERX1346888","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"269","ERP012527","ERX1346787","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"270","ERP012527","ERX1346772","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"271","ERP012527","ERX1346897","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"272","ERP012527","ERX1346826","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"273","ERP012527","ERX1346882","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
