"","study.accession","experiment.accession","sample_name","sample.comment"
"252","DRP001358","DRX013778","DRS013524","LC2ad_van_008"
"253","DRP001358","DRX013716","DRS013462","LC2ad-R_van_004"
"254","DRP001358","DRX013645","DRS013391","LC2ad-R_046"
"255","DRP001358","DRX013698","DRS013444","LC2ad_029"
"256","DRP001358","DRX013762","DRS013508","LC2ad-R_van_050"
"257","DRP001358","DRX013654","DRS013400","LC2ad-R_055"
"258","DRP001358","DRX013830","DRS013576","PC9_032"
"259","DRP001358","DRX013675","DRS013421","LC2ad_006"
"260","DRP001358","DRX013696","DRS013442","LC2ad_027"
"261","DRP001358","DRX013668","DRS013414","LC2ad-R_069"
"262","DRP001358","DRX013646","DRS013392","LC2ad-R_047"
"263","DRP001358","DRX013925","DRS013671","LC2ad_replicate_035"
"264","DRP001358","DRX013622","DRS013368","LC2ad-R_023"
"265","DRP001358","DRX013917","DRS013663","LC2ad_replicate_027"
"266","DRP001358","DRX013603","DRS013349","LC2ad-R_004"
"267","DRP001358","DRX013757","DRS013503","LC2ad-R_van_045"
"268","DRP001358","DRX013705","DRS013451","LC2ad_036"
"269","DRP001358","DRX013933","DRS013679","LC2ad_replicate_043"
"270","DRP001358","DRX013727","DRS013473","LC2ad-R_van_015"
"271","DRP001358","DRX013793","DRS013539","LC2ad_van_023"
"272","DRP001358","DRX013730","DRS013476","LC2ad-R_van_018"
"273","DRP001358","DRX013912","DRS013658","LC2ad_replicate_022"
"274","DRP001358","DRX013767","DRS013513","LC2ad-R_van_055"
"275","DRP001358","DRX013897","DRS013643","LC2ad_replicate_007"
"276","DRP001358","DRX013841","DRS013587","PC9_043"
"277","DRP001358","DRX013665","DRS013411","LC2ad-R_066"
"278","DRP001358","DRX013667","DRS013413","LC2ad-R_068"
"279","DRP001358","DRX013708","DRS013454","LC2ad_039"
"280","DRP001358","DRX013770","DRS013516","LC2ad-R_van_058"
"281","DRP001358","DRX013638","DRS013384","LC2ad-R_039"
"282","DRP001358","DRX013918","DRS013664","LC2ad_replicate_028"
"283","DRP001358","DRX013892","DRS013638","LC2ad_replicate_002"
"284","DRP001358","DRX013823","DRS013569","PC9_025"
"285","DRP001358","DRX013626","DRS013372","LC2ad-R_027"
"286","DRP001358","DRX013676","DRS013422","LC2ad_007"
"287","DRP001358","DRX013752","DRS013498","LC2ad-R_van_040"
"288","DRP001358","DRX013884","DRS013630","LMD_040"
