"","study.accession","experiment.accession","isolate","age","biomaterial_provider","sex","tissue","sample_type","filename","md5_checksum","BioSampleModel"
"176","SRP108709","SRX2887539","4_12D_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_12D_L001_R1_001.fastq.gz","747a00eccd29905b0c650a0a507c34b8","Human"
"177","SRP108709","SRX2887401","1_8D_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM1_8D_L008_R1_001.fastq.gz","45ea4da2bd7ba1e8f35be7c06f93a638","Human"
"178","SRP108709","SRX2887302","4_6B_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_6B_L001_R1_001.fastq.gz","ff15469b9f3b807557029c7acf2ad8d2","Human"
"179","SRP108709","SRX2887313","4_1F_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_1F_L001_R1_001.fastq.gz","4635b9da9a84b31fb1c45a61cee302d4","Human"
"180","SRP108709","SRX2887451","4_5D_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_5D_L001_R1_001.fastq.gz","3fa9996d294b146a19516ea389f6c915","Human"
"181","SRP108709","SRX2887462","4_11B_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_11B_L001_R1_001.fastq.gz","589ae1b772114e872cf861741776e3a2","Human"
"182","SRP108709","SRX2887496","4_9H_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_9H_L002_R1_001.fastq.gz","10f01c9cd10c2fd20621fd459477621b","Human"
"183","SRP108709","SRX2887410","4_4A_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_4A_L002_R1_001.fastq.gz","bdac0737a232e38e410cf894f1f0d447","Human"
"184","SRP108709","SRX2887411","4_8D_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_8D_L001_R1_001.fastq.gz","7f0c45dce84b39e65241352801915e5e","Human"
"185","SRP108709","SRX2887376","4_2H_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_2H_L002_R1_001.fastq.gz","e587cb82dbfadd374f3e6241ed9c143a","Human"
"186","SRP108709","SRX2887366","2_12H_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_12H_L002_R1_001.fastq.gz","224dc66c9c624808522107c93b2afd1b","Human"
"187","SRP108709","SRX2887369","2_3B_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_3B_L002_R1_001.fastq.gz","ff38c8917565c0dcdc4dedc006b92bc1","Human"
